Name;Address;Phone
אביב;ניסן 7;08-8553639
אגוז;מנחם אוסישקין 9;08-8641986
אגם;חסידי אומות העולם 1;08-8660310
אגס;אפרסק 12;08-6344395
אדווה; נחל קדרון 1;08-8644439
אדמונית;"חטיבת הנגב (ביה""ס מגינים) 45";08-6379236
אודם;ספיר 6;08-8640154
אופיר;יבניאל 4;08-6379236
אופק;הקישון 14 ;08-8544470
אור;"קק""ל 15";08-6534945
אור-ים; הזית 5;08-8565550
אורן;המלך חיזקיה 41;08-8663465
אורנית; הר כנען 1 א;08-8646984
אחווה;המלך יהושפט 8;08-8647170
איילות;נחל שניר 3;08-8656829
איתן; הדולפין 13;08-8663465
אלה;ביהס דביר  ראש פינה 11;08-8660932
אלומות;הקישון 14 ;08-8544470
אלון;הדולפין 13;08-2656473
אלמוג;אברהם שפירא 4ב;08-9919863
אלמוגים;אגוז 11;08-6467457
אמירים 2; העליה 3;08-8642917
אנפה;חסידי אומות העולם;08-8660310
אנקור;אליאשוילי 14;08-8646889
אסיף;תשרי 11 א;08-6467813
אפיק;אלאשוילי 4;08-8555026
אפרסמון; האפרסק 10;08-8532562
אפרסק; הענבים 8;08-6582922
אקליפטוס; הרב קוק 7;08-8565567
ארז;תשרי 11;08-8675223
ארזים;הרב שאולי 2;08-6826733
אריאל;אברהם סופר 2;08-8657521
אשחר; פתח תקווה 13;08-8663464
אשכולית; האפרסק 10;08-8532562
אשל;ביס אשכול פתח תקווה 8;08-8646283
אתרוג;תשרי 5;08-8670803
בדולח;ברקת 6;08-8536244
בוסתן; שבט ראובן 6;08-8679281
ברק; הרב שאולי 31;08-8553515
ברקת; מונטיפיורי 10;08-8527411
גביש; ספיר 6;08-8640154
גולשים 1; גולשים 12;08-8553592
גולשים 2; גולשים 12;08-8553592
גומא; זלמן ארן 10;08-8553617
גלבוע; ירמוך 3;08-8550085
גלי ים;מצדה 113;08-8544470
גלי ציון; נחל קדרון 13;08-8550454
גלים; הזית 15;08-8565550
גלשנים;" בי""ס שקד רחבעם 15";08-8565550
גפן; שבט בנימין 38;08-8679303
דגן; בנימין 17;08-8551054
דגנית; נחל שניר 3;08-8656801
דובדבן;הציונות 115;08-8675122
דוברה;המרי 4;08-8602551
דוברת;שי עגנון 14;08-8553625
דוגית; אגוז 11;525375868
דוכיפת; אבן עזרא 16;08-8553616
דולב; פתח תקווה 13;08-8663464
דולפין; שועלי שמשון 8;08-8565572
דיונה; כנרת 69;08-8543667
דייגים; זלמן ארן 10;08-8551747
דפנה; הציונות 115;08-8679716
דקל;העצמאות 39;08-8646806
דרור; המתנדבים 4;08-8677927
האוניה;המלך חזקיה 41;08-8663465
האירוסים;שבט בנימין 17;08-8551054
הברוש;דוד המלך 12;08-8656477
הדס;המלך שאול 7;08-8646541
הדר; ראש פינה 6;08-8650934
הזית;המלך דוד 12;08-8656473
הנמל;אברהם שפירא 4;08-8553689
הפנינה;מונטיפיורי 10;08-8527411
הפעמונים; המרי 2;08-8602547
הצוללים; אגוז 11;08-6467939
הרדוף;עצמאות 63;08-8648390
ורד;ראשון לציון 8;08-6379430
זוהר;ספיר 6;08-8602551
זיו;המעפילים 7;08-8565567
זמיר;ביאליק 34;08-8555026
זמר; המרי 2;546375756
חבצלת החוף; צאלים 11;08-8544368
חובל;שייטים 12;547862726
חוף;זלמן ארן 10;08-8553617
חופית; הרב שאולי 17;509041983
חורש;כנרת 49;08-6493864
חושן;שוהם 26;08-8676214
חטצ אמירים 1;עליה 3;08-8642917
חטצ צמח 1;בתוך בית ספר צמח הרותם 35;08-8556333
חטצ צמח 2;בתוך ביס צמח הרותם 35;08-8556333
חלמיש; שועלי שמשון 8;08-8565572
חמניות; ביאליק 34;502330334
חן; שי עגנון 14;08-8553625
חצב; בלפור 20;08-8553646
חרוב; שלמה המלך 46;08-6334100
חרצית; מצדה 113;08-6105551
טופז; נחמן סירקין 4;08-8665690
טורקיז;ברקת 6;08-8536244
טל; הרי גולן 10;08-8551118
טללים;משה יואל סלומון 5;08-8669703
יהב;אליהו הנביא 2;08-6534945
יהלום;רוטשילד 11;08-9562029
יובל;המרי 4;08-8670524
יוגב; שבט בנימין 38;08-8679303
יונה;המלך אמציה 7;08-6414853
ימית;בית ספר מוריה דוד ילין 5;08-6647059
יסמין;המלך שאול 7;08-8646541
יעלים;עצמאות 63;08-8648390
ירדן;קקל 7;08-8642918
ישי 1;צבעוני 19;08-8666175
ישי 2; צבעוני 19;08-8666175
ישי 3; הדגנית 3;08-8555928
ישי 4;כפתור החולות 20;08-8669780
ישי 5;מבוא השרביטן 8;08-8555869
ישי 6;נתן אלבז 23;08-8558702
ישי 7;מבוא הדגנית 3;08-8555928
ישי 8; שבט בנימין 40;08-9562031
כוכב ים;האצל 6;08-8565597
כלנית; קקל 60;08-8655671
כנרת;רח דולפין;526698608
כסיף 1; זלמן ארן 17;08-8553508
כסיף 2; זלמן ארן 17;08-8553508
כרכום;מבוא המלך יהוא 10;08-8652677
כרמים;מאחורי הבניין שלמה בן יוסף 4;08-8647335
כרמל;צזילג 13;08-8553688
לבונה;ראש פינה 6;08-8650934
לגונה;הרי גולן 10;08-8551118
לוטם;אלאשוילי 4;08-8555026
לחן;מונטיפיורי 10;08-9101130
לילך;המרי 4;08-8679271
לימונית;ענבים 8;08-6582922
לכיש;המלך אמציה 7;86414853
לשם;רוטשילד 11;08-9562029
מבוא הדמומית 1;מבוא הדמומית 10;08-8540921
מבוא הדמומית 2;מבוא הדמומית 10;08-8540921
מורן; העצמאות 41;08-8663471
מזח; דוב גור 38 ;08-8553752
מיתר; המאבק 4;08-8677927
מכמורת;זלמן ארן 13;08-8551747
מלחים; אבן עזרא 16;08-8553616
מנגו;אשכולית 7;08-9213352
מנוף;ליד בית ספר מוריה רח דוד ילין 5;526768298
מפרש א;הראשונים 17;08-8565525
מפרש ב;הראשונים 17;08-8565525
מפרשית 1;המפרש 13;08-8554079
מפרשית 2;המפרש 13;08-8554079
מצפן;יהודה אלפרין 3;08-8553749
משוט;חטיבת כרמלי 5;08-8565570
משחתת;שדרות עוזיהו 5;08-8565573
משקפת;החובלים 7;08-8553514
נבו;הר נבו 14;08-6681043
נוגה; שמואל הנגיד 11;08-8553672
נווה ים; הרב שאולי 17;08-8554104
נווטים; אלאשוילי 14;08-8646889
נוף ים;רח דולפין 6;08-6114979
נופר; מצדה 90;08-8550328
נורית; העצמאות 1;08-8678934
נחליאלי; נחליאלי 5;08-8565553
ניסן; ניסן 3;08-8677686
ניצן;יבניאל 4;08-6379236
ניצנים;העצמאות 39;08-8646806
נירים;שבט בנימין 36;08-8670512
נעמית; הגלים 20;08-8553534
נרקיס;בנימין 17;08-8558293
נתב;הגולשים 24;08-8553546
סביון;אברהם סופר 2;08-8657521
